model1, model2,DFig,DF6,lnLikig,lnLik6,AIC,ChiSq Pr(>|Chi|), preferred   ,,
ig,6param,12,6,-18674,-18663,37359,37350,21.364,0.001578,6param    
ig,6param,12,6,-18697,-18688,37406,37400,17.782,0.006801,6param
ig,6param,12,6,-18581,-18577,37174,37178,8.0398,0.2352,6param 
ig,6param,12,6,-18774,-18774,37560,37571,0.76613,0.993,split                 
ig,6param,12,6,-18463,-18460,36937,36945,4.2494,0.643,6param
ig,6param,12,6,-18710,-18699,37432,37423,21.326,0.001603,6param                   
ig,6param,12,6,-18753,-18752,37518,37528,2.5028,0.8682,6param
ig,6param,12,6,-18733,-18730,37478,37483,6.0452,0.4182,6param
ig,6para,12,6,-1865,6,-18675,37363,38.716,8.134E-007,6param
ig,6param,12,6,-18731,-18740,37485,37492,19.062,0.004061,6param                     
ig,6param,12,6,-18857,37737,37768,42.79,1.284E-007,,6param
ig,6param,12,6,-18803,-18808,37630,10.567,0.10276,,6param
ig,6param,12,6,-18634,-18648,37292,37309,29.032,0.00006,6param
ig,6param,12,6,-18725,-18736,37475,37484,20.779,0.00201,6param
ig,6param,12,6,-18697,-18712,37418,37437,31.13,0.00002394,6param
ig,6param,12,6,-18543,-18562,37111,37136,37.479,0.00000142,6param
ig,6param,12,6,-18615,-18626,37255,37264,20.791,0.002,6param
ig,6param,12,6,-18558,-18566,37141,37144,15.14,0.01919,6param                   
ig,6param,12,6,-18804,-18814,37631,37641,21.516,0.001481,6param
ig,6param,12,6,-18656,-18675,37336,37363,38.716,8.134E-007,6param
ig,6param,12,6,-18615,-18626,37255,37264,20.791,0.002,6param
ig,6param,12,6,-18526,-18534,37077,37079,14.65,0.02316,6param                
ig,6param,-18687,-18691,37398,37394,8.2492,0.2204,,,6param
